,,0
X22,X4,-0.05817349442469234
X20,X12,-0.059463140969706195
X24,X14,-0.06128887747400739
X2,X1,-0.06270290903565802
X20,X13,-0.06303293305111143
X16,X1,-0.07226469175632248
X11,X13,-0.07437219088761565
X23,X22,-0.07499147872518978
X11,X2,-0.07940014259332814
X9,X11,-0.08111497470908857
X15,"Y(1=default, 0=non-default)",-0.08207949878149652
X15,X4,-0.0826458719317912
X16,X24,-0.08522258444270682
X20,X6,-0.0886649334701099
X7,"Y(1=default, 0=non-default)",-0.09051034978938627
X20,X1,-0.09358364258067457
X16,X4,-0.09398181358447122
X17,"Y(1=default, 0=non-default)",-0.09979075742999831
X3,X20,-0.10434004190173557
X24,X13,-0.10673663224582329
X15,X14,-0.10740090936998636
X23,X17,-0.11185723586847553
"Y(1=default, 0=non-default)",X10,-0.1121910355475716
X4,X21,-0.11248337623491424
X11,"Y(1=default, 0=non-default)",-0.1130455434637038
X15,X18,-0.11964057937709618
"Y(1=default, 0=non-default)",X6,-0.1198061769916277
X2,X16,-0.13143452282471138
X20,X7,-0.13158549146306525
X9,X15,-0.1339234341844665
X21,"Y(1=default, 0=non-default)",-0.1345887757223316
X21,X17,-0.14137524566426973
X10,X24,-0.14969778929056582
X2,X15,-0.1710883464037721
"Y(1=default, 0=non-default)",X5,-0.17519778737235722
X17,X16,-0.18729058006319058
X4,X23,-0.19454993851446156
X22,X24,-0.19570923786773164
X23,X2,-0.19690225376815282
"Y(1=default, 0=non-default)",X3,-0.22160570089660483
X22,X6,-0.22870555911900392
X23,X9,-0.25267915554647813
X14,X23,-0.2537204885657202
X20,X10,-0.25818468797977817
X21,X9,-0.2992937275497861
X21,X8,-0.3029755509031561
"Y(1=default, 0=non-default)",X1,-0.34794431482591703
X18,X19,-0.645720826576488
X23,X24,-0.65243825430126
X20,X21,-0.7359676982390794
